Participant,Group,Phase,Condition,GroupCode,WindowIndex,WindowStart_s,WindowEnd_s,f_peak_Hz,LFpeak_TP,LF_power,HF_power,TP,LF_HF,RespRate_bpm,RF_cardiac,RF_CR
E05,HRVBF,Baseline,0,1,5,150.953125,210.953125,0.05,0.4110735651971159,0.0007670340861068544,0.0010988949130956364,0.0018659289992024905,0.698004947485001,19.115044247787612,0,0
E05,HRVBF,Baseline,0,1,6,180.953125,240.953125,0.15,0.5126180595437322,0.000769741486202312,0.0007318472149203884,0.0015015887011227004,1.051778937610695,19.40482874789444,0,0
E05,HRVBF,Baseline,0,1,7,210.953125,270.953125,0.06666666666666667,0.38846071671340265,0.0002735454773799262,0.00043063248865554747,0.0007041779660354738,0.6352179284799123,18.37837837837838,0,0
E05,HRVBF,Intervention,1,1,0,0.8203125,60.8203125,0.08333333333333333,0.5645344884270341,0.0020428471992454717,0.0015757930098540102,0.0036186402090994823,1.296393109038307,20.36850921273032,1,0
E05,HRVBF,Intervention,1,1,1,30.8203125,90.8203125,0.05,0.5447726184161562,0.0011836662425187224,0.000989104933022465,0.002172771175541187,1.1967044172974906,17.816593886462883,0,0
E05,HRVBF,Intervention,1,1,2,60.8203125,120.8203125,0.05,0.5297472501849476,0.0004912762538262478,0.0004361023284216663,0.0009273785822479141,1.1265160073881422,17.954412624196376,0,0
E05,HRVBF,Intervention,1,1,3,90.8203125,150.8203125,0.06666666666666667,0.8635457907229777,0.003016488129037514,0.00047665393875260306,0.003493142067790117,6.328465756375837,17.826324412889132,0,0
E05,HRVBF,Intervention,1,1,4,120.8203125,180.8203125,0.05,0.8590375521482195,0.003074426797555644,0.0005044933437901421,0.0035789201413457864,6.094087930790493,18.153503893214683,0,0
E05,HRVBF,Intervention,1,1,5,150.8203125,210.8203125,0.05,0.6845486580874887,0.0009553608669310738,0.00044024608612349504,0.001395606953054569,2.1700610114295986,19.49759486905398,0,0
E05,HRVBF,Intervention,1,1,6,180.8203125,240.8203125,0.11666666666666667,0.7430727556120711,0.0017451522636804137,0.000603409502983911,0.002348561766664324,2.892152435535881,20.360551431601273,0,0
